window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719670915000,5000,0.2,1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719670920000,5000,0.4,1043,1,[ST8000NM0055, ZA1551YJ],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1132,1,[ST12000NM0008, ZHZ1SPKY], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671000000,5000,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671005000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671015000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671020000,5001,0.6,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671025000,5000,0.6,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671035000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671040000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671050000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671060000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671065000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671070000,4996,0.6,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671080000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671085000,5000,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671095000,5000,1.0,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671115000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671120000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671130000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671140000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671145000,5000,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671150000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671155000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671160000,4999,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671165000,5001,0.6,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671170000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671180000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671190000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671195000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671200000,5001,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671210000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671215000,5000,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671220000,5001,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671235000,5001,0.2,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671245000,5000,0.6,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671250000,4998,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671260000,5000,0.4,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
1719671265000,5000,0.8,2000,1,[TOSHIBA MG08ACA16TE, 71C0A068FVGG],1090,1,[TOSHIBA MQ01ABF050, 66HLS2P3S],1043,1,[ST8000NM0055, ZA1551YJ],1124,1,[HGST HUH721212ALN604, 2AGM5VVY],1048,1,[HGST HMS5C4040ALE640, PL1331LAGA0T8H],1160,1,[TOSHIBA MG07ACA14TA, 1170A02NF97G],1113,1,[HGST HUH721212ALN604, 8HK1KYAH],1001,1,[ST4000DM000, Z302ALE1],1098,1,[ST12000NM0008, ZL00567C],1035,1,[ST8000DM002, ZA12EH4Y]
