window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719670870000,5000,0.6,1128,1,[ST12000NM0007, ZJV3BXCY],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1118,1,[HGST HUH721212ALN604, AAG6LEMH], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719670940000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670945000,5000,0.6,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670955000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670970000,5001,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670975000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670980000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670985000,5000,0.8,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719670990000,5000,0.8,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671000000,5000,0.8,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671005000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671015000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671020000,5001,0.6,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671025000,5000,0.6,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671035000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671040000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671050000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671060000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671065000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671070000,4996,0.6,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671080000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671085000,5000,0.8,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671095000,5000,1.0,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671115000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671120000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671130000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671140000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671145000,5000,0.8,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671150000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671155000,5000,0.4,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671160000,4999,0.8,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671165000,5001,0.6,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671170000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671180000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671190000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671195000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671200000,5001,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671210000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671215000,5000,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671220000,5001,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671235000,5001,0.2,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
1719671245000,5000,0.6,1120,1,[HGST HUH721212ALN604, AAG765VH],1009,1,[ST4000DM000, S301JQ43],1128,1,[ST12000NM0007, ZJV3BXCY],1080,1,[WDC WUH721414ALE6L4, 9LG3U60A],1032,1,[ST8000DM002, ZA12JLHE],1146,1,[ST14000NM001G, ZLW17SGH],3003,1,[WDC WUH721816ALE6L4, 2PGU12RT],1053,1,[ST8000NM0055, ZA18GQ69],1118,1,[HGST HUH721212ALN604, AAG6LEMH],1135,1,[ST12000NM0008, ZHZ50RD4]
