window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719671360000,5000,0.6,1042,1,[ST8000NM0055, ZA13X80G],1102,1,[ST12000NM0008, ZL0051K0],1055,1,[ST8000NM0055, ZA14Y3LA], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671365000,5000,0.8,1042,1,[ST8000NM0055, ZA13X80G],1091,1,[ST8000NM0055, ZA180Z52],1014,1,[ST4000DM000, Z304L8YH],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1055,1,[ST8000NM0055, ZA14Y3LA], , , , , , , , , , , , 
1719671370000,4998,0.2,1042,1,[ST8000NM0055, ZA13X80G],1091,1,[ST8000NM0055, ZA180Z52],1014,1,[ST4000DM000, Z304L8YH],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1055,1,[ST8000NM0055, ZA14Y3LA], , , , , , , , 
1719671385000,5000,0.6,1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1091,1,[ST8000NM0055, ZA180Z52],1014,1,[ST4000DM000, Z304L8YH],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1050,1,[HGST HMS5C4040BLE640, PL1331LAHDYX6H],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG2DJ],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33]
1719671390000,5000,0.4,1091,1,[ST8000NM0055, ZA180Z52],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G],1014,1,[ST4000DM000, Z304L8YH],1145,1,[HGST HUH721212ALE604, 8HH60W4H]
1719671395000,5000,0.6,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671475000,5001,0.6,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671480000,5001,0.4,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671490000,4999,0.4,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671500000,5000,0.4,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671505000,5001,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671510000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671520000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671525000,5001,0.4,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671530000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671540000,5000,0.4,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671550000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671560000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671575000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671580000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671590000,5000,0.2,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
1719671715754,0,0.0,1091,2,[ST8000NM0055, ZA180Z52], [ST8000NM0055, ZA1814C0],1127,1,[HGST HUH721212ALN604, 2AGM8RHY],1131,1,[ST12000NM0008, ZHZ45JM8],1037,1,[ST8000DM002, ZA140NLT],1102,1,[ST12000NM0008, ZL0051K0],1038,1,[ST8000DM002, ZA13YP33],1039,1,[ST8000NM0055, ZA16DSTD],1137,1,[ST12000NM0008, ZHZ65741],1042,1,[ST8000NM0055, ZA13X80G],1106,1,[TOSHIBA MG07ACA14TA, 70E0A1DEF97G]
