window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719671165000,5001,0.6,1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9], , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1719671170000,5000,0.2,1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J], , , , , , , , , , , , , , , , , , , , , , , , 
1719671180000,5000,0.2,1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1118,1,[HGST HUH721212ALN604, AAG6TK8H], , , , , , , , , , , , , , , , , , , , 
1719671190000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J], , , , , , , , , , , , , , , , , , , , 
1719671195000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J], , , , , , , , , , , , , , , , 
1719671200000,5001,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1054,1,[ST8000NM0055, ZA180YXL], , , , , , , , , , , , 
1719671210000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1113,1,[HGST HUH721212ALN604, 8HJY7GDH],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1054,1,[ST8000NM0055, ZA180YXL], , , , , , , , 
1719671215000,5000,0.2,1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1113,1,[HGST HUH721212ALN604, 8HJY7GDH],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671220000,5001,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671300000,5001,0.8,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671305000,5000,0.6,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671310000,4999,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671315000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671320000,5001,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671330000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671340000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671345000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671350000,5000,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671360000,5000,0.6,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671365000,5000,0.8,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671370000,4998,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671385000,5000,0.6,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671390000,5000,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671395000,5000,0.6,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671405000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671420000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671425000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671430000,5001,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671435000,5001,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671440000,5000,0.4,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
1719671445000,5000,0.2,1113,2,[HGST HUH721212ALN604, 8HJY7GDH], [HGST HUH721212ALN604, 8HK68T0H],1118,2,[HGST HUH721212ALN604, AAG6TK8H], [HGST HUH721212ALN604, 8HKHPDLH],1153,1,[ST14000NM0138, ZHZ3D26Q],1105,1,[HGST HUH721212ALE604, 8DJ0LA7H],1092,1,[ST10000NM0086, ZA20ZNG9],1142,1,[ST12000NM001G, ZLW0EGAK],1052,1,[HGST HMS5C4040BLE640, PL2331LAHDG17J],1053,1,[ST8000NM0055, ZA171BW4],1054,1,[ST8000NM0055, ZA180YXL], , , , 
