window,latency,throughput,vault_id1,failures1,model_serial_list1,...,vault_id10,failures10,model_serial_list10
1719671300000,5001,0.8,1124,1,[HGST HUH721212ALN604, AAHMR0AH],1033,1,[ST8000DM002, ZA126JN9],1131,1,[ST12000NM0008, ZHZ3KDRB],1118,1,[HGST HUH721212ALN604, AAG26V1H], , , , , , , , , , , , , , , , , , , , , , , , 
1719671305000,5000,0.6,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1064,1,[ST12000NM0008, ZHZ4Y409],1131,1,[ST12000NM0008, ZHZ3KDRB],1118,1,[HGST HUH721212ALN604, AAG26V1H],1055,1,[ST8000NM0055, ZA17ZNPM], , , , , , , , , , , , , , , , 
1719671310000,4999,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1131,1,[ST12000NM0008, ZHZ3KDRB],1118,1,[HGST HUH721212ALN604, AAG26V1H],1055,1,[ST8000NM0055, ZA17ZNPM], , , , , , , , , , , , 
1719671315000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1131,1,[ST12000NM0008, ZHZ3KDRB],1055,1,[ST8000NM0055, ZA17ZNPM], , , , , , , , , , , , 
1719671320000,5001,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1113,1,[HGST HUH721212ALN604, 8HK7Y1TH],1131,1,[ST12000NM0008, ZHZ3KDRB],1055,1,[ST8000NM0055, ZA17ZNPM], , , , , , , , 
1719671330000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1113,1,[HGST HUH721212ALN604, 8HK7Y1TH],1131,1,[ST12000NM0008, ZHZ3KDRB],1150,1,[WDC WUH721414ALE6L4, X1G956VL],1055,1,[ST8000NM0055, ZA17ZNPM], , , , 
1719671340000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1113,1,[HGST HUH721212ALN604, 8HK7Y1TH],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB],1150,1,[WDC WUH721414ALE6L4, X1G956VL],1055,1,[ST8000NM0055, ZA17ZNPM]
1719671345000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB],1150,1,[WDC WUH721414ALE6L4, X1G956VL],1055,1,[ST8000NM0055, ZA17ZNPM]
1719671430000,5001,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671435000,5001,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671440000,5000,0.4,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671445000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671455000,5000,0.6,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671460000,4999,0.4,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671470000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671475000,5001,0.6,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671480000,5001,0.4,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671490000,4999,0.4,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671500000,5000,0.4,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671505000,5001,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671510000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671520000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671525000,5001,0.4,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
1719671530000,5000,0.2,1033,2,[ST8000DM002, ZA126JN9], [ST8000DM002, ZA11PNQK],1113,2,[HGST HUH721212ALN604, 8HK7Y1TH], [HGST HUH721212ALN604, 8HJXYLKH],1118,2,[HGST HUH721212ALN604, AAG26V1H], [HGST HUH721212ALN604, 8HKY66AH],1043,1,[HGST HUH728080ALE604, 2EHSADEX],1124,1,[HGST HUH721212ALN604, AAHMR0AH],1159,1,[TOSHIBA MG07ACA14TA, 70H0A008F97G],1064,1,[ST12000NM0008, ZHZ4Y409],1096,1,[HGST HUH728080ALE600, VKGHNMYX],1049,1,[HGST HMS5C4040BLE640, PL1331LAHD0WGH],1131,1,[ST12000NM0008, ZHZ3KDRB]
